T/M,q=0.0,Q=2.5M,q=5M,Kappa=0
1.78,0.114558935165405,0.138006448745728,0.212185621261597,7.15255737304688E-07
1.79,0.113707780838013,0.13676905632019,0.209670782089233,7.15255737304688E-07
1.8,0.112873792648315,0.135557413101196,0.20721173286438,7.15255737304688E-07
1.81,0.112055540084839,0.13437294960022,0.204807043075562,7.15255737304688E-07
1.82,0.111253023147583,0.133212804794312,0.202456712722778,7.15255737304688E-07
1.83,0.110466241836548,0.132076978683472,0.200159311294556,7.15255737304688E-07
1.84,0.109695196151733,0.130964040756226,0.197911977767944,7.15255737304688E-07
1.85,0.10893702507019,0.129875421524048,0.19571328163147,7.15255737304688E-07
1.86,0.108210325241089,0.128808259963989,0.193563222885132,7.15255737304688E-07
1.87,0.107479333877563,0.12776255607605,0.191460371017456,7.15255737304688E-07
1.88,0.106762647628784,0.126736879348755,0.189403295516968,7.15255737304688E-07
1.89,0.106058835983276,0.125732660293579,0.187389135360718,7.15255737304688E-07
1.9,0.10536789894104,0.124748468399048,0.185419321060181,7.15255737304688E-07
1.91,0.104689836502075,0.123782873153687,0.183490991592407,7.15255737304688E-07
1.92,0.104023218154907,0.12283730506897,0.181604146957397,7.15255737304688E-07
1.93,0.103368043899536,0.121908903121948,0.179730176925659,7.15255737304688E-07
1.94,0.102724313735962,0.120999097824097,0.177016496658325,7.15255737304688E-07
1.95,0.102092027664185,0.120105028152466,0.175252676010132,7.15255737304688E-07
1.96,0.101471185684204,0.119229555130005,0.173524618148804,7.15255737304688E-07
1.97,0.100860357284546,0.118369817733765,0.171833753585815,7.15255737304688E-07
1.98,0.10025954246521,0.117525815963745,0.169722318649292,7.15255737304688E-07
1.99,0.0996687412261963,0.116697549819946,0.167648077011108,7.15255737304688E-07
2,0.0990879535675049,0.115883588790894,0.166064500808716,7.15255737304688E-07
