Omega/M,T-0.3M,T-0.5M,T-0.7M,T-0.9M,T-1.1M,T-1.3M,T-1.5M
0.0295120922666639,0.00304469215470305,0.0118791772021437,0.0165480677046899,0.0145754703789973,0.0101563007785556,0.00709319247459696,0.0052616465094518
0.0301995172040202,0.00311576153130562,0.0121582275848618,0.0169363224267922,0.0149170763978183,0.010393872472216,0.00725886703518477,0.00538442794486569
0.0309029543251359,0.00318813395097555,0.0124413937613021,0.0173338823517366,0.0152665362255288,0.0106370786183828,0.0074284671250376,0.00551010741680571
0.0316227766016838,0.00326250198506706,0.0127335590780953,0.0177408047546073,0.015624771711908,0.0108860190388285,0.00760199308589979,0.00563869002993554
0.0323593656929628,0.00333845264501799,0.013030304714518,0.0181566246366496,0.0159911932485726,0.0111406025951731,0.00777945708874574,0.0057702314665382
0.0331131121482591,0.00341606156061793,0.0133358573275894,0.0185820397310408,0.0163656894748606,0.0114008378819384,0.00796104927132174,0.00590479495448164
0.0338844156139203,0.00349535412299859,0.013646940055512,0.0190162761245082,0.016748181928277,0.0116671102744032,0.00814677801405972,0.00604246705858189
0.0346736850452532,0.0035768645713728,0.0139642758042069,0.0194612643942004,0.0171397613509595,0.0119396170753668,0.00833680189102155,0.00618330389649067
0.0354813389233576,0.00365991415231688,0.014291122014181,0.0199159287140706,0.0175400731451298,0.0122182709273002,0.00853121623001934,0.00632742090366252
0.0363078054770101,0.00374501099060261,0.0146243742997001,0.020381279876659,0.0179499962600477,0.0125033583793454,0.00873012583760074,0.00647485460421414
0.0371535229097173,0.00383217119419603,0.0149649087564155,0.0208578281026371,0.0183692597215301,0.0127950521162709,0.00893360072604413,0.00662571266503225
0.0380189396320561,0.00392110150596,0.0153152459383458,0.0213443384160839,0.0187982775877453,0.0130935371982595,0.00914184726336923,0.00678006742924062
0.0389045144994281,0.00401227902783674,0.0156705654034825,0.021842490189783,0.0192368416549005,0.0133988453545083,0.0093548688106725,0.0069379898170761
0.0398107170553497,0.00410590162761873,0.0160353030206559,0.0223523544138978,0.0196853065130908,0.0137112966409595,0.00957284266990171,0.00709955376247413
0.0407380277804113,0.00420089811270517,0.0164098198635396,0.0228735674487735,0.0201447018688464,0.0140307975643601,0.00979584862356452,0.00726486791645708
0.0416869383470336,0.00429839540786165,0.0167905144499689,0.0234070916506241,0.0206144748390432,0.0143578387799864,0.0100240062621722,0.00743401309989541
0.0426579518801593,0.00439813462199941,0.0171816259740438,0.0239520010914205,0.0210953185993463,0.0146924443842399,0.0102574283039964,0.00760705821296028
0.0436515832240166,0.00450026268291026,0.0175828074876,0.0245108862936762,0.0215867569047864,0.0150347037715599,0.010496251981669,0.0077841167058415
0.0446683592150963,0.00460450962258086,0.0179905345371535,0.0250823115011648,0.0220895436086402,0.0153848790273044,0.0107406105850439,0.00796526723183566
0.0457088189614875,0.00471154802148906,0.0184094084349863,0.0256650499906631,0.0226043552727901,0.0157431193113656,0.0109905900142631,0.00815062046521199
0.0467735141287198,0.00482083271134976,0.0188366209056012,0.0262624859536752,0.0231306756553817,0.0161096348725763,0.0112463552591256,0.00834023639692734
0.0478630092322638,0.00493258337919563,0.0192750057453123,0.0268740961207226,0.0236697951642134,0.0164846509961067,0.0115080519884417,0.00853424354280831
0.0489778819368446,0.00504679371826225,0.0197230602032716,0.0274993426350122,0.0242201051053951,0.0168682489482878,0.0117757261196889,0.0087327179827228
0.0501187233627272,0.00516403954695704,0.0201805645526571,0.028138769580876,0.0247857462687706,0.0172607353755502,0.0120496958366393,0.00893579938408733
0.0512861383991365,0.00528329046186639,0.0206504235818497,0.0287927421874296,0.0253598999261024,0.0176622222075301,0.0123298845977538,0.00914355733055514
0.0524807460249773,0.00540573301419771,0.0211275883655636,0.0294614997789255,0.0259504715282757,0.0180729068584664,0.0126165700406447,0.00935611277054283
0.0537031796370253,0.00553070529058587,0.0216184062684911,0.030145286857864,0.0265536197339948,0.0184932519979202,0.0129098198444403,0.00957356823819013
0.0549540873857625,0.00565861539998682,0.0221196553935612,0.030845071770637,0.0271708247839592,0.0189230637790027,0.013209892904389,0.00979602434012537
0.0562341325190349,0.00578980551900779,0.0226337778924506,0.0315620874319023,0.0278017226078604,0.0193628355648076,0.0135168454363357,0.0100236235315787
0.0575439937337157,0.00592392638617245,0.0231578134622358,0.0322940469752947,0.0284474950655838,0.019812698935884,0.0138308106990078,0.0102564698416091
0.0588843655355589,0.00606053142578364,0.0236928639759459,0.0330419442274928,0.0291080457907912,0.0202728081746157,0.0141520680556969,0.0104946379991236
0.0602559586074358,0.0062006658930565,0.0242408743402004,0.0338083946896801,0.0297833501914279,0.0207435193715773,0.0144807125406098,0.0107383219873165
0.0616595001861482,0.00634374538490282,0.0248020040357656,0.0345911117606722,0.0304743425634742,0.0212250986985972,0.0148168565110799,0.0109875960673023
0.0630957344480193,0.00649051816029584,0.0253761122673518,0.0353918654706731,0.031181150938918,0.0217177567317876,0.0151607618798881,0.0112425873362615
0.0645654229034656,0.00664025672775934,0.0259631471339155,0.0362115656406923,0.0319043418649025,0.0222215190495246,0.0155125233067745,0.0115034491200988
0.0660693448007596,0.00679294664812606,0.0265628408158349,0.037049329982944,0.0326436807653881,0.0227368849859024,0.0158723807577037,0.0117703116898769
0.0676082975391982,0.00694993003247529,0.0271764542327455,0.0379091255391775,0.0333993560341344,0.0232640563427983,0.0162404459440179,0.012043262527522
0.0691830970918937,0.00710999387344572,0.0278024596019245,0.0387820762726982,0.0341730458776745,0.0238033511457652,0.01661693953212,0.0123224905001147
0.0707945784384138,0.0072740635532452,0.0284452755535537,0.0396771096014356,0.0349633023170654,0.0243547055104267,0.0170020792251888,0.0126081004957841
0.072443596007499,0.00744108591438279,0.0291010478500501,0.0405941769732176,0.0357817580033039,0.0249188879007645,0.0173959634730061,0.0129002547532915
0.0741310241300918,0.00761301600040521,0.0297721166543864,0.0415315129674439,0.0365991004009581,0.0254957667264225,0.017798936614732,0.0131990752109225
0.0758577575029184,0.00778703118058707,0.0304556185809769,0.0424879337039808,0.0374454600016858,0.0260856621329325,0.0182110244381202,0.0135047108193292
0.0776247116628692,0.00796667815813077,0.0311575539281541,0.0434669091126156,0.0383099257873575,0.026689158384898,0.0186324902712825,0.0138173271391598
0.0794328234724281,0.00814883892329164,0.0318733935824935,0.0444670578106189,0.0391942517172187,0.0273063446648542,0.0190635760914636,0.0141370670051605
0.0812830516164099,0.00833605708252823,0.0326058338258592,0.0454909218668306,0.0400990847122109,0.0279373438951483,0.0195044894076648,0.0144641099607868
0.0831763771102671,0.00852658527259539,0.0333541727464402,0.0465357874989155,0.0410231566641832,0.0285828309317869,0.0199553861956839,0.0147985657531658
0.0851138038202376,0.00872272716236084,0.0341208383350128,0.0476058505668651,0.041968780854074,0.029242922853886,0.0204164984081279,0.0151406373780181
0.0870963589956081,0.00892212769132623,0.0349028097905675,0.0486980217424827,0.0429348696252251,0.0299176521369834,0.0208880838836604,0.015490393064714
0.0891250938133745,0.0091255683346203,0.0357023379232604,0.0498145602654538,0.0439226906345321,0.0306078151229848,0.0213702991196829,0.015848220584208
0.091201083935591,0.00933412096463959,0.0365177612608933,0.0509568203388331,0.0449326568780801,0.0313134003030343,0.0218634191071931,0.0162140666857135
0.0933254300796991,0.00954682336625609,0.0373533011720062,0.0521226864568138,0.0459647796332184,0.0320348056915641,0.0223678405265287,0.0165881889724874
0.0954992586021436,0.00976542700202155,0.0382066931481951,0.0533150083899855,0.0470210238270077,0.032772547285279,0.022883325464468,0.0169707364554953
0.0977237220955811,0.0099872021381745,0.0390778971328382,0.0545331483964786,0.0480994260544955,0.033526631593861,0.0234105622546148,0.01736191909096
0.1,0.0102149182529695,0.0399684400122396,0.0557764602986815,0.0492014206882554,0.0342976922892248,0.0239495741465501,0.0177618737749568
0.102329299228075,0.0104462922555223,0.0408785607378049,0.0570487333916373,0.0503275115449557,0.0350857804229304,0.0245006826101083,0.0181708454842361
0.10471285480509,0.0106834992909482,0.0418116094698164,0.0583477494302707,0.0514806881152702,0.0358917984349133,0.0250640655039261,0.0185889934194084
0.107151930523761,0.0109253211930384,0.0427595933418519,0.0596751610872471,0.0526566455154871,0.0367150604086104,0.0256401260709359,0.0190164665088237
0.109647819614319,0.0111726259946753,0.0437276742733566,0.0610302810557223,0.053858383451299,0.0375565848741793,0.02622895179638,0.0194534867557806
0.112201845430196,0.0114251862129454,0.0447158546146484,0.0624137583570991,0.0550878387166405,0.0384171512262226,0.0268308718462787,0.0199002363238608
0.114815362149688,0.0116830811748439,0.0457280073737532,0.063827369663948,0.0563436250342754,0.0392964861093754,0.0274457934020687,0.0203569505144378
0.117489755493953,0.0119464420435834,0.0467604436561846,0.0652726180822051,0.057626363533144,0.0401951458795289,0.0280750109033939,0.0208237783025393
0.120226443461741,0.0122150300637138,0.0478141110856036,0.0667454596020053,0.0589362648119857,0.0411135228624375,0.0287177204011501,0.0213009352309848
0.123026877081238,0.0124888367932509,0.0488892831568513,0.0682477718867122,0.0602743710242304,0.0420516391277376,0.0293746120873575,0.0217886361875229
0.125892541179417,0.0127695781635181,0.04998783499339,0.0697868285362718,0.061640261088035,0.0430102766052019,0.0300458286591447,0.0222870321643887
0.128824955169313,0.0130545862876533,0.0511015811921897,0.0713556992130703,0.0630358536259903,0.0439902267628121,0.0307318731458039,0.0227964172218893
0.131825673855641,0.013345382669965,0.0522509913476837,0.0729536931566421,0.0644618080653073,0.044990569864623,0.0314327688234739,0.0233169523741892
0.134896288259165,0.0136425945337575,0.053423442551187,0.0745888875048772,0.0659160269297135,0.0460130866278164,0.0321489070994991,0.0238487888805566
0.138038426460289,0.0139469224346097,0.0546103024765953,0.0762548499585413,0.0674021279086711,0.0470571241085515,0.0328805118028932,0.0243922308250138
0.141253754462275,0.0142552912674267,0.0558243585251486,0.0779535785285336,0.068917185378535,0.0481236592860493,0.0336280105442774,0.0249474332219476
0.144543977074593,0.014570458408681,0.057061869581398,0.0796892036049783,0.0704713152408055,0.0492127157484389,0.0343914096637879,0.0255146284005687
0.147910838816821,0.0148915573452211,0.0583300882717718,0.0814574934789065,0.0720471695475663,0.0503249523032752,0.0351711698521345,0.0260940161150527
0.151356124843621,0.0152194874885864,0.0596107570910286,0.0832615180564251,0.0736594472390588,0.0514601151328357,0.035967649708515,0.0266858780335698
0.154881661891248,0.0155526352150532,0.0609248483583306,0.0850986385832021,0.0753029559790153,0.0526194506830842,0.0367807407260082,0.0272902549402039
0.158489319246111,0.0158930239630333,0.0622615788715328,0.086972538457589,0.0769797304230559,0.0538029727466249,0.0376112936755545,0.0279074813546886
0.162181009735893,0.0162398274334848,0.0636199118791988,0.0888829435543987,0.0786922922571302,0.0550110118560592,0.0384591862358905,0.0285378070703569
0.165958690743756,0.0165916265638427,0.0650152099547933,0.0908284344113929,0.0804382065453995,0.05624358675987,0.0393247500959494,0.0291812707460048
0.169824365246174,0.0169516003901012,0.0664248328165179,0.092807878619849,0.0822186880419161,0.0575013633531506,0.040208277939717,0.029838277719945
0.173780082874938,0.0173155386704753,0.0678631597961121,0.0948289989850733,0.0840337889405464,0.0587848236465355,0.0411100692246815,0.0305088781117297
0.177827941003892,0.0176876957963019,0.0693323973084114,0.0968847257016571,0.085882847133006,0.0600941475007078,0.0420303369642285,0.0311933952235919
0.181970085860998,0.0180667366316198,0.070817105436417,0.0989750927280513,0.0877678436363952,0.0614296795093537,0.0429692230051218,0.0318924417785619
0.186208713666287,0.0184503353267819,0.0723337929630043,0.101120703469169,0.0896898412401549,0.0627916699976736,0.0439271523136661,0.0326046448285568
0.190546071796325,0.0188403305485406,0.0738816739790461,0.103272089294054,0.0916451233627261,0.0641800635645505,0.0449042572625867,0.0333318347888836
