Phi/M,mu-0,mu-0.9M,mu-1M,mu-1.1M
-0.09,-0.00121232863012069,-0.0388512126728297,-0.0531045296826491,-0.0705409455543064
-0.08,-0.000964594619776608,-0.0388239601740367,-0.0531043335241817,-0.0705678057361647
-0.07,-0.000743661499523666,-0.0387999520487586,-0.0531041986403674,-0.0705915440938142
-0.06,-0.000550153655537821,-0.0387791739730506,-0.0531041107072614,-0.0706121463033101
-0.05,-0.000384699879160886,-0.0387616135328271,-0.053104057310778,-0.0706295999505668
-0.04,-0.000247935731970901,-0.0387472602238618,-0.053104027946691,-0.0706438945313581
-0.03,-0.000140506534868724,-0.0387361054517879,-0.0531040140206335,-0.070655021451317
-0.02,-6.30659893174147E-05,-0.0387281425320976,-0.0531040088480978,-0.0706629740259359
-0.01,-1.6249510374853E-05,-0.0387233666901428,-0.0531040076544358,-0.0706677474805666
0,-5.73939894046756E-07,-0.0387217750611344,-0.0531040075748583,-0.0706693389504201
0.01,-1.6249510374853E-05,-0.0387233666901428,-0.0531040076544358,-0.0706677474805666
0.02,-6.30659893174147E-05,-0.0387281425320976,-0.0531040088480978,-0.0706629740259359
0.03,-0.000140506534868724,-0.0387361054517879,-0.0531040140206335,-0.070655021451317
0.04,-0.000247935731970901,-0.0387472602238618,-0.053104027946691,-0.0706438945313581
0.05,-0.000384699879160886,-0.0387616135328271,-0.053104057310778,-0.0706295999505668
0.06,-0.000550153655537821,-0.0387791739730506,-0.0531041107072614,-0.0706121463033101
0.07,-0.000743661499523666,-0.0387999520487586,-0.0531041986403674,-0.0705915440938142
0.08,-0.000964594619776608,-0.0388239601740367,-0.0531043335241817,-0.0705678057361647
0.09,-0.00121232863012069,-0.0388512126728297,-0.0531045296826491,-0.0705409455543064
0.1,-0.00148624222816379,-0.0388817257789418,-0.0531048033495738,-0.0705109797820436
0.11,-0.00178571654659371,-0.0389155176360365,-0.0531051726686192,-0.0704779265630398
0.12,-0.00211013485538118,-0.0389526082976367,-0.0531056576933083,-0.0704418059508177
0.13,-0.0024588824305815,-0.0389930197271245,-0.0531062803870231,-0.0704026399087596
0.14,-0.0028313464981258,-0.0390367757977415,-0.0531070646230052,-0.0703604523101069
0.15,-0.00322691621022379,-0.0390839022925882,-0.0531080361843553,-0.0703152689379603
0.16,-0.0036449826356094,-0.0391344269046249,-0.0531092227640335,-0.07026711748528
0.17,-0.00408493875555751,-0.039188379236671,-0.0531106539648593,-0.0702160275548855
0.18,-0.00454617946227335,-0.0392457908014052,-0.0531123612995113,-0.0701620306594554
0.19,-0.00502810155824656,-0.0393066950213655,-0.0531143781905276,-0.0701051602215277
0.2,-0.00553010375599395,-0.0393711272289494,-0.0531167399703056,-0.0700454515734999
0.21,-0.00605158667795757,-0.0394391246664134,-0.053119483881102,-0.0699829419576286
0.22,-0.00659195285646462,-0.0395107264858737,-0.0531226490750328,-0.0699176705260298
0.23,-0.00715060673371166,-0.0395859737493054,-0.0531262766140732,-0.0698496783406789
0.24,-0.00772695466175849,-0.0396649094285434,-0.0531304094700579,-0.0697790083734104
0.25,-0.00832040490252575,-0.0397475784052814,-0.0531350925246809,-0.0697057055059184
0.26,-0.00893036762779396,-0.0398340274710728,-0.0531403725694955,-0.069629816529756
0.27,-0.0095562549192032,-0.0399243053273302,-0.0531462983059141,-0.069551390146336
0.28,-0.010197480768253,-0.0400184625853254,-0.0531529203452088,-0.0694704769669302
0.29,-0.0108534610763021,-0.0401165517661898,-0.0531602912085108,-0.0693871295126697
0.3,-0.0115236136545687,-0.0402186273009137,-0.0531684653268105,-0.0693014022145452
0.31,-0.0122073582241303,-0.0403247455303471,-0.0531774990409579,-0.0692133514134065
0.32,-0.0129041164159237,-0.0404349647051992,-0.053187450601662,-0.0691230353599628
